t,phi,theta,phi_cmd,theta_cmd
3.072000,-0.000088,-0.000106,0.000000,0.000000
3.080000,-0.000088,-0.000106,0.000000,0.000000
3.092000,-0.000021,-0.000110,0.000000,0.000000
3.100000,-0.000021,-0.000110,0.000000,0.000000
3.108000,0.000039,-0.000126,0.000000,0.000000
3.116000,0.000039,-0.000126,0.000000,0.000000
3.124000,0.000039,-0.000126,0.000000,0.000000
3.132000,0.000090,-0.000147,0.000000,0.000000
3.140000,0.000090,-0.000147,0.000000,0.000000
3.148000,0.000026,-0.000137,0.000000,0.000000
3.156000,0.000026,-0.000137,0.000000,0.000000
3.164000,0.000018,-0.000144,0.000000,0.000000
3.172000,0.000018,-0.000144,0.000000,0.000000
3.180000,0.000018,-0.000144,0.000000,0.000000
3.192000,0.000009,-0.000087,0.000000,0.000000
3.200000,0.000009,-0.000087,0.000000,0.000000
3.208000,0.000035,-0.000019,0.000000,0.000000
3.216000,0.000035,-0.000019,0.000000,0.000000
3.224000,0.000088,-0.000010,0.000000,0.000000
3.232000,0.000088,-0.000010,0.000000,0.000000
3.240000,0.000088,-0.000010,0.000000,0.000000
3.248000,0.000104,-0.000044,0.000000,0.000000
3.256000,0.000104,-0.000044,0.000000,0.000000
3.264000,0.000085,-0.000048,0.000000,0.000000
3.272000,0.000085,-0.000048,0.000000,0.000000
3.280000,0.000085,-0.000048,0.000000,0.000000
3.292000,0.000066,-0.000008,0.000000,0.000000
3.300000,0.000066,-0.000008,0.000000,0.000000
3.308000,0.000033,0.000006,0.000000,0.000000
3.316000,0.000033,0.000006,0.000000,0.000000
3.324000,-0.000059,0.000013,0.000000,0.000000
3.332000,-0.000059,0.000013,0.000000,0.000000
3.340000,-0.000059,0.000013,0.000000,0.000000
3.348000,-0.000108,-0.000031,0.000000,0.000000
3.356000,-0.000108,-0.000031,0.000000,0.000000
3.364000,-0.000120,-0.000013,0.000000,0.000000
3.372000,-0.000120,-0.000013,0.000000,0.000000
3.380000,-0.000120,-0.000013,0.000000,0.000000
3.392000,-0.000112,0.000031,0.000000,0.000000
3.400000,-0.000112,0.000031,0.000000,0.000000
3.408000,-0.000143,0.000003,0.000000,0.000000
3.416000,-0.000143,0.000003,0.000000,0.000000
3.424000,-0.000154,-0.000027,0.000000,0.000000
3.432000,-0.000154,-0.000027,0.000000,0.000000
3.440000,-0.000154,-0.000027,0.000000,0.000000
3.448000,-0.000108,-0.000025,0.000000,0.000000
3.456000,-0.000108,-0.000025,0.000000,0.000000
3.464000,-0.000036,0.000013,0.000000,0.000000
3.472000,-0.000036,0.000013,0.000000,0.000000
3.480000,-0.000036,0.000013,0.000000,0.000000
3.492000,-0.000051,0.000024,0.000000,0.000000
3.500000,-0.000051,0.000024,0.000000,0.000000
3.508000,-0.000078,-0.000005,0.000000,0.000000
3.516000,-0.000078,-0.000005,0.000000,0.000000
3.524000,-0.000066,0.000022,0.000000,0.000000
3.532000,-0.000066,0.000022,0.000000,0.000000
3.540000,-0.000066,0.000022,0.000000,0.000000
